"title","img_url","youtube_id"
"Toy Story (1995)","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJzAvb8vFlI_NhQWAKMNDqDLXLBwG7uAtrXpbTiZGq5foib83-","UxUTTrU6PA4"
"Twelve Monkeys (1995)","https://s3.amazonaws.com/nightjarprod/content/uploads/sites/189/2024/05/29143032/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg","15s4Y9ffW_o"
"Dead Man Walking (1995)","https://m.media-amazon.com/images/S/pv-target-images/4732c33bd4b9a4085c32176da276e79805fc05f8e1a94ceb2d44dcbd6eb40ed6.jpg","hr3ASqbap_s"
"Usual Suspects, The (1995)","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS444S6trRnIa0vOXYJFtoeqA56AyGh7HnRqfotDLyq74dZM5jq","Q0eCiCinc4E"
"Mr. Holland's Opus (1995)","https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Mr_Hollands_Opus.jpg/220px-Mr_Hollands_Opus.jpg","jPt_INy_CtM"
"Braveheart (1995)","https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQZMhJp7Pe1AW0S55kuNvgKPdHvGbmKCIXqbpeDkvjcaCEqL8b2","1NJO0jxBtMo"
"Birdcage, The (1996)","https://m.media-amazon.com/images/M/MV5BMTM2NjExODYyOF5BMl5BanBnXkFtZTcwNTc0NjgyNA@@._V1_FMjpg_UX1000_.jpg","Y46JSmjcpeM"
"Apollo 13 (1995)","https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcROJnafHwg8r0joUTK1JfWcJZa7V_174DVXOYEKjgEr9CdT29-4","KtEIMC58sZo"
"Star Wars (1977)","https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_.jpg","L-_xHEv0l-w"
"Pulp Fiction (1994)","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZUTnNVTW8xT3y97qIZ8op9FNtIXzmp6TPDcC0qpqTvvKNV9YT","s7EdQ4FqbhY"
